branch_office,name,city,postal_code,street,building_number,orientation_number,longitude,latitude,first_launch,opened_from,opened_to,city_code
AB353,Tuchoměřice (POP Airport),Tuchoměřice,25267,Ke Kopanině,421.0,,14.281139,50.125556,2020-09-24,10:00:00,20:00:00,539767.0
AB780,Pardubice (Palác Pardubice - vnitřní),Pardubice,53002,Masarykovo náměstí,2799.0,,15.768945,50.037204,2021-04-15,09:00:00,22:00:00,555134.0
AB578,Brno (Pasáž Rozkvět),Brno,60200,Náměstí Svobody,85.0,16.0,16.608444,49.19375,2020-12-10,09:00:00,21:00:00,582786.0
AB358,P13 - Stodůlky (Centrum Velká Ohrada),Praha 13,15500,Prusíkova,2577.0,16.0,14.338295,50.038204,2020-10-08,09:00:00,21:00:00,554782.0
AB243,P7 (Centrum Stromovka),Praha 7,17000,Veletržní,200.0,24.0,14.430911,50.101966,2020-08-06,09:00:00,21:00:00,554782.0
AB348,P2 - Bělehradská (Palác Pyramida),Praha 2,12000,Bělehradská,222.0,,14.432047,50.076399,2020-10-22,08:30:00,18:00:00,554782.0
AB1412,P7 - Holešovice - Dukelských Hrdinů,Praha 7,17000,Dukelských Hrdinů,359.0,21.0,14.432706,50.098183,2022-12-08,08:00:00,19:00:00,554782.0
AB1607,P1 - Spálená (OC Quadrio),Praha 1,11000,Purkyňova,2121.0,,14.419827,50.081725,2022-08-18,08:00:00,21:00:00,554782.0
AB077,P6 - Fajtlova (OC Šestka),Praha 6,16100,Fajtlova,1090.0,1.0,14.290786,50.093321,2019-01-01,08:00:00,22:00:00,554782.0
AB1728,Kladno - nám. Jana Masaryka (OD Rozdělov),Kladno,27204,náměstíJana Masaryka,2735.0,,14.072554,50.139669,2023-06-08,07:00:00,21:00:00,532053.0
AB1677,Brno - Střed (Galerie Vaňkovka),Brno,60200,Ve Vaňkovce,462.0,1.0,16.615067,49.186876,2023-05-04,07:00:00,23:00:00,582786.0
AB839,P1 - Nové Město (Galerie Myšák),Praha 1,11000,Vodičkova,710.0,,14.423924,50.081453,2021-04-22,07:00:00,21:00:00,554782.0
AB666,České Budějovice (Galerie Dvořák),České Budějovice,37001,náměstíPřemysla Otakara II.,123.0,36.0,14.473808,48.973567,2021-03-04,07:00:00,20:00:00,544256.0
AB504,České Budějovice (IGY Centrum),České Budějovice,37004,Pražská tř.,1247.0,24.0,14.472725,48.983361,2020-12-10,07:00:00,23:59:59,544256.0
AB380,P14 - Chlumecká (OC Černý Most),Praha 14,19800,Chlumecká,765.0,6.0,14.58622,50.108217,2020-09-24,07:00:00,23:59:59,554782.0
AB394,Tišnov (OD Mlýnská),Tišnov,66601,Mlýnská,2291.0,,16.421149,49.348305,2020-09-17,07:00:00,18:00:00,584002.0
AB368,P1 -  Na Florenci (Florentinum),Praha 1,11000,Na Florenci,2116.0,15.0,14.434846,50.089008,2020-09-10,07:00:00,22:00:00,554782.0
AB098,České Budějovice (OC Čtyři Dvory),České Budějovice,37005,M. Horákové,1498.0,,14.442442,48.982674,2019-11-27,07:00:00,23:59:59,544256.0
AB012,P3 - Žižkov (OC Atrium Flora -1P Eskalátory),Praha 3,13000,Vinohradská,151.0,,14.46136,50.078,2019-01-01,07:00:00,23:59:59,554782.0
AB011,P8 - Bohnice (Centrum Krakov),Praha 8,18100,Lodžská,6.0,,14.417286,50.12772,2019-01-01,07:00:00,22:00:00,554782.0
AB1663,Roudnice nad Labem (Kaufland),Roudnice nad Labem,41301,Alej,17.0,,14.237875,50.424024,2023-07-27,06:30:00,22:30:00,565555.0
AB434,Kladno (OC Central),Kladno,27201,P. Bezruče,3388.0,,14.1015,50.142417,2020-10-15,06:30:00,23:00:00,532053.0
AB273,P9 - Českomoravská (Galerie Harfa),Praha 9,19000,Českomoravská,2420.0,15.0,14.491309,50.103519,2020-07-23,06:30:00,22:00:00,554782.0
AB2838,Brno - Zábrdovice - Cejl (Vnitroblok),Brno,60200,Cejl,42.0,109.0,16.625647,49.201092,2025-02-20,06:00:00,22:00:00,582786.0
AB2537,Brno - Zábrdovice - Bratislavská (Ve dvoře),Brno,60200,Bratislavská,855.0,48.0,16.6199,49.19942,2024-10-24,06:00:00,22:00:00,582786.0
AB2009,P6 - Stamicova (ÚVN - budova C),Praha 6,16902,U Vojenské nemocnice,1200.0,,14.35938,50.088734,2024-02-01,06:00:00,21:00:00,
AB1896,P7 - Holešovice (Vnitroblock),Praha 7,17000,Dělnická,791.0,32.0,14.449411,50.102981,2023-12-21,06:00:00,22:00:00,554782.0
AB1869,Statenice (Potraviny),Statenice,25262,Statenická,210.0,,14.318586,50.14164,2023-10-19,06:00:00,22:00:00,539686.0
AB1266,P1 - Hybernská (Lidový Dům),Praha 1,11000,Hybernská,1033.0,,14.431518,50.087329,2022-03-10,06:00:00,23:59:59,554782.0
AB459,Brno (NC Královo Pole),Brno,61200,Cimburkova,4.0,,16.607714,49.217268,2020-10-29,06:00:00,23:59:59,582786.0
AB031,P10 - Eden (Tesco),Praha 10,10000,U Slavie,1527.0,,14.46905,50.067683,2019-01-01,06:00:00,23:59:00,554782.0
AB1808,Kozojedy - Kostelecká (ČS Cobalt),Kozojedy,28163,Kostelecká,301.0,,14.818992,49.992321,2023-09-28,05:00:00,22:00:00,533432.0
AB009,P8 - ÚAN Florenc,Praha 8,18600,Křižíkova,2110.0,2.0,14.440085,50.08926,2019-01-01,04:00:00,23:59:59,554782.0
AB092,P2 - Hlavní nádraží,Praha 2,12000,Wilsonova,300.0,8.0,14.434931,50.083853,2019-01-01,03:15:00,23:59:59,554782.0
AB2965,Židlochovice (Lidl),Židlochovice,66701,,,,16.616224,49.043358,2025-04-10,00:00:00,23:59:59,584282.0
