name,city,postal_code,street,building_number,orientation_number,ruian_code,city_code
Praha 10,Praha,10000,Černokostelecká,2020,20,22623701.0,554782.0
Praha 104,Praha,10004,Nákupní,389,3,25671022.0,554782.0
Praha 107,Praha,10007,Švehlova,1391,32,25302892.0,554782.0
Praha 101,Praha,10100,Sportovní,846,22,22664611.0,554782.0
Praha 113,Praha,10300,K poště,416,3,22582398.0,554782.0
Praha 114,Praha,10400,Nové náměstí,1370,11,27222136.0,554782.0
Praha 106,Praha,10600,Malinová,1739,1,22678352.0,554782.0
Praha 112,Praha,10700,Za pavilónem,666,0,28339274.0,554782.0
Praha 111,Praha,10900,Veronské náměstí,403,0,25380991.0,554782.0
Praha 1,Praha,11000,Jindřišská,909,14,21707138.0,554782.0
Praha 05,Praha,11005,Rybná,682,14,22725873.0,554782.0
Dolní Měcholupy,Praha,11101,Dolnoměcholupská,168,37,22550151.0,554782.0
Mobilní pošta 11,Opava,11111,Partyzánská,1521,7,24370428.0,505927.0
Praha 011,Praha,11800,Malostranské náměstí,36,22,21694397.0,554782.0
Praha 012,Praha,11900,Hrad III. nádvoří,48,2,21690731.0,554782.0
Praha 2,Praha,12000,Moravská,1530,9,21754551.0,554782.0
Praha 28,Praha,12800,Karlovo náměstí,2097,10,25642766.0,554782.0
Praha 3,Praha,13000,Olšanská,38,9,21767483.0,554782.0
Praha 4,Praha,14000,Na strži,1709,42,21874581.0,554782.0
Praha 44,Praha,14004,K Libuši,7,10,21875537.0,554782.0
Praha 416,Praha,14016,Křesomyslova,593,12,21945063.0,554782.0
Praha 418,Praha,14018,Novodvorská,434,149,21892725.0,554782.0
Praha 41,Praha,14100,Hlavní,2459,108,22702571.0,554782.0
Praha 411,Praha,14200,Durychova,972,72,21894787.0,554782.0
Praha 412,Praha,14300,Sofijské náměstí,3406,1,21940592.0,554782.0
Praha 413,Praha,14400,Libušská,1,204,21895031.0,554782.0
Praha 414,Praha,14800,Roztylská,2321,19,26224186.0,554782.0
Praha 415,Praha,14900,Podjavorinské,1595,1,21841497.0,554782.0
Praha 5,Praha,15000,Preslova,73,12,22075071.0,554782.0
Praha 53,Praha,15003,Na Zatlance,1823,2,22094407.0,554782.0
Praha 56,Praha,15006,Plzeňská,1348,95,83213961.0,554782.0
Praha 550,Praha,15015,Radlická,520,117,22753851.0,554782.0
Praha 519,Praha,15019,Janského,2254,45,22703951.0,554782.0
Praha 500,Praha,15020,Voskovcova,1075,51,22771743.0,554782.0
Praha 52,Praha,15200,Tilleho náměstí,792,2,22006702.0,554782.0
Praha 512,Praha,15300,náměstí Osvoboditelů,1409,0,25922416.0,554782.0
Praha 514,Praha,15400,K Lochkovu,6,2,22067167.0,554782.0
Praha 515,Praha,15500,Hábova,1516,3,22118721.0,554782.0
Praha 513,Praha,15511,Hasičů,46,3,22061011.0,554782.0
Praha 517,Praha,15521,Křivatcová,244,1,22145605.0,554782.0
Praha 511,Praha,15531,Na Bambouzku,500,0,30807263.0,554782.0
Praha 516,Praha,15600,Elišky Přemyslovny,1617,0,82039321.0,554782.0
Praha 59,Praha,15900,Starochuchelská,7,0,22757244.0,554782.0
Praha 6,Praha,16000,Kafkova,102,19,22186476.0,554782.0
Praha 600,Praha,16020,Fajtlova,1090,1,26655241.0,554782.0
Praha 650,Praha,16150,Drnovská,1167,0,84936690.0,554782.0
Praha 616,Praha,16200,Na Petřinách,302,42,22282793.0,554782.0
Praha 618,Praha,16300,Makovského,1349,2a,22709053.0,554782.0
Praha 619,Praha,16400,Nebušická,128,0,22226851.0,554782.0
Praha 620,Praha,16500,Suchdolské náměstí,734,3,22275673.0,554782.0
Praha 69,Praha,16900,Břevnovská,1692,6,22167986.0,554782.0
Praha 7,Praha,17000,Milady Horákové,383,81,22298711.0,554782.0
Praha 74,Praha,17004,Dělnická,213,12,25914260.0,554782.0
Praha 71,Praha,17100,Trojská,632,173b,22725008.0,554782.0
Praha 8,Praha,18000,Sokolovská,260,143,22376682.0,554782.0
Praha 88,Praha,18008,Osinalická,1104,13,78573742.0,554782.0
Praha 81,Praha,18100,Lodžská,850,6,42732972.0,554782.0
Praha 82,Praha,18200,Burešova,1663,6,22373942.0,554782.0
Praha 84,Praha,18400,Spořická,443,23,22338853.0,554782.0
Praha 9,Praha,19000,Verneřická,407,6,22517103.0,554782.0
Praha 93,Praha,19003,Freyova,945,35,27431592.0,554782.0
Praha 900,Praha,19009,Chlumecká,765,6,22758194.0,554782.0
Praha 911,Praha,19011,Českobrodská,516,0,22404503.0,554782.0
Praha 912,Praha,19012,Stará obec,5,0,22413707.0,554782.0
Praha 914,Praha,19014,Slavětínská,33,53,22468579.0,554782.0
Praha 915,Praha,19015,K Radonicům,81,3,22510052.0,554782.0
Praha 916,Praha,19016,Staroújezdská,23,0,22520325.0,554782.0
Praha 917,Praha,19017,Bohdanečská,97,0,22536892.0,554782.0
Praha 913,Praha,19300,Náchodská,701,95,22436502.0,554782.0
Praha 96,Praha,19600,Cukrovarská,2,27,22404724.0,554782.0
Praha 97,Praha,19700,Semilská,885,4,30491576.0,554782.0
Praha 98,Praha,19800,Bratří Venclíků,1139,3,22413642.0,554782.0
Praha 99,Praha,19900,Bechyňská,638,0,22497790.0,554782.0
Mobilní pošta 21,Kunčice pod Ondřejníkem,22222,,569,0,14158698.0,598356.0
Brandýs nad Labem-Stará Boleslav 1,Brandýs nad Labem-Stará Boleslav,25001,Riegrova,630,2,14614995.0,538094.0
Brandýs nad Labem-Stará Boleslav 2,Brandýs nad Labem-Stará Boleslav,25002,Boleslavská,1391,0,19969287.0,538094.0
Hovorčovice,Hovorčovice,25006,Revoluční,327,0,14500957.0,538230.0
Zápy,Zápy,25061,,7,0,11694246.0,505781.0
Mratín,Mratín,25063,Kostelecká,131,0,14559234.0,538515.0
Měšice u Prahy,Měšice,25064,Nová,275,0,14651840.0,538477.0
Líbeznice,Líbeznice,25065,Mělnická,275,0,12652504.0,538442.0
Zdiby,Zdiby,25066,U Pošty,54,0,21346895.0,539058.0
Klecany,Klecany,25067,U školky,487,0,15583031.0,538311.0
Řež,Husinec,25068,U Pošty,38,0,12642207.0,538256.0
Vodochody,Vodochody,25069,U Pošty,63,0,14601192.0,539015.0
Odolena Voda,Odolena Voda,25070,Velkoveská,34,0,12667803.0,538574.0
Kojetice u Prahy,Kojetice,25072,Lipová,75,0,14544181.0,538345.0
Jenštejn,Jenštejn,25073,9. května,60,0,12645176.0,538264.0
Káraný,Káraný,25075,Václavská,19,0,20827768.0,564974.0
Nehvizdy,Nehvizdy,25081,Pražská,255,0,11702478.0,538540.0
Úvaly,Úvaly,25082,Riegerova,897,0,14665522.0,538957.0
Škvorec,Škvorec,25083,Čs. armády,107,0,14589729.0,538884.0
Sibřina,Sibřina,25084,Říčanská,15,0,18357172.0,538761.0
Bašť,Bašť,25085,Dlouhá,52,0,12631515.0,538051.0
Mochov,Mochov,25087,Husovo náměstí,16,0,14555166.0,538507.0
Čelákovice,Čelákovice,25088,Stankovského,1650,0,12715557.0,538132.0
Lázně Toušeň,Lázně Toušeň,25089,Za Školou,2,0,12685259.0,538914.0
Jirny,Jirny,25090,Brandýská,9,0,14507463.0,538272.0
Zeleneč v Čechách,Zeleneč,25091,Čsl. armády,113,2,12694274.0,539066.0
Šestajovice,Šestajovice,25092,Revoluční,149,41,21324239.0,538876.0
Říčany u Prahy,Říčany,25101,Masarykovo náměstí,62,32,12717517.0,538728.0
Mukařov,Mukařov,25162,Příčná,11,0,14560011.0,538523.0
Strančice,Strančice,25163,Revoluční,383,0,14655926.0,538809.0
Mnichovice,Mnichovice,25164,Tyršova,194,0,21302341.0,538493.0
Ondřejov,Ondřejov,25165,náměstí 9. května,68,0,14569337.0,538582.0
Senohraby,Senohraby,25166,Hlavní,48,0,17247489.0,538752.0
Pyšely,Pyšely,25167,náměstí T. G. Masaryka,66,0,2923068.0,538680.0
Kamenice,Kamenice,25168,Jednosměrná,316,0,14530457.0,538299.0
Velké Popovice,Velké Popovice,25169,Masarykova,15,0,18350828.0,538981.0
Dobřejovice,Dobřejovice,25170,Na Návsi,3,0,11696664.0,538167.0
Sulice,Sulice,25194,Školní,343,0,73975893.0,538833.0
Jíloviště,Jíloviště,25202,Pražská,81,0,6440657.0,539341.0
Řitka,Řitka,25203,Na návsi,54,0,6366945.0,539651.0
Čisovice,Čisovice,25204,,35,0,6259685.0,539155.0
Hvozdnice,Hvozdnice,25205,,160,0,8514879.0,539261.0
Davle,Davle,25206,Na náměstí,63,0,6414206.0,539163.0
Štěchovice,Štěchovice,25207,Hlavní,3,0,6490379.0,539732.0
Slapy nad Vltavou,Slapy,25208,,348,0,6374557.0,539660.0
Hradištko,Hradištko,25209,Pikovická,276,0,6278191.0,539252.0
Mníšek pod Brdy,Mníšek pod Brdy,25210,Skalecká,2,0,12810177.0,540765.0
Nučice,Nučice,25216,Báňská,154,0,6471218.0,531618.0
Tachlovice,Tachlovice,25217,Jakubská náves,8,0,6388621.0,531821.0
Úhonice,Úhonice,25218,Na Návsi,24,0,6498060.0,532991.0
Rudná,Rudná,25219,Masarykova,105,47,6344186.0,531723.0
Jinočany,Jinočany,25225,Náměstí 5. května,256,0,26167689.0,539350.0
Třebotov,Třebotov,25226,Klidná,69,0,6392008.0,539759.0
Černošice,Černošice,25228,Karlštejnská,259,0,6506836.0,539139.0
Dobřichovice,Dobřichovice,25229,Palackého náměstí,951,0,25456521.0,539198.0
Řevnice,Řevnice,25230,Mníšecká,1060,0,28324099.0,539643.0
Všenory,Všenory,25231,U Silnice,151,0,6590616.0,539856.0
Dolní Břežany,Dolní Břežany,25241,U Náměstí,712,0,27845087.0,539210.0
Jesenice u Prahy,Jesenice,25242,Budějovická,130,0,12776254.0,539325.0
Průhonice,Průhonice,25243,Říčanská,197,0,6535909.0,539571.0
Psáry,Psáry,25244,Pražská,137,0,6476074.0,539597.0
Zvole u Prahy,Zvole,25245,Na Výsluní,270,0,12867128.0,539902.0
Vrané nad Vltavou,Vrané nad Vltavou,25246,U Pošty,205,0,12843547.0,539848.0
Čestlice,Čestlice,25247,U Makra,102,0,25106856.0,538141.0
Vestec,Vestec,25250,U Hrubých,650,0,76183645.0,513458.0
Jeneč,Jeneč,25261,Lidická,82,0,12770663.0,539317.0
Horoměřice,Horoměřice,25262,Požárníků,38,0,12748994.0,539236.0
Roztoky u Prahy,Roztoky,25263,Tyršovo náměstí,2221,0,26668025.0,539627.0
Velké Přílepy,Velké Přílepy,25264,Svrkyňská,63,0,6501737.0,539813.0
Tursko,Tursko,25265,Čestmírovo náměstí,59,0,6396712.0,539775.0
Libčice nad Vltavou,Libčice nad Vltavou,25266,Letecká,91,0,6317481.0,539414.0
Tuchoměřice,Tuchoměřice,25267,K poště,460,0,42453534.0,539767.0
Středokluky,Středokluky,25268,Lidická,61,0,6584403.0,539708.0
