branch_code,name,city,street,building_number,orientation_number,longitude,latitude
z-box-ceska-kubice-ceska-kubice-82,Z-BOX,Česká Kubice,Česká Kubice,82,,12.8581,49.36891
z-box-vseruby-u-kdyne-vseruby-40,Z-BOX,Všeruby u Kdyně,Všeruby,40,,12.98162,49.33973
z-box-nyrsko-havlickova-474,Z-BOX,Nýrsko,Havlíčkova,474,,13.13596,49.28962
z-box-hartmanice-hartmanice-136,Z-BOX,Hartmanice,Hartmanice,136,,13.45571,49.1695
z-box-kasperske-hory-dlouha-138,Z-BOX,Kašperské Hory,Dlouhá,138,,13.5555,49.14296
z-box-chodov-chodov-154,Z-BOX,Chodov,Chodov,154,,12.83517,49.41812
z-box-lenora-lenora-88,Z-BOX,Lenora,Lenora,88,,13.79976,48.92289
z-box-dlouha-ves-dlouha-ves-173,Z-BOX,Dlouhá Ves,Dlouhá Ves,173,,13.50633,49.19475
z-box-trhanov-trhanov-32,Z-BOX,Trhanov,Trhanov,32,,12.84466,49.42008
kdyne-nadrazni-747,Z-BOX,Kdyně,Nádražní,747,,13.03639,49.38909
kdyne-na-kobyle-209,Z-BOX,Kdyně,Na Kobyle,209,,13.02652,49.39257
z-box-zdikov-zdikov-38,Z-BOX,Zdíkov,Zdíkov,38,,13.69688,49.08565
janovice-nad-uhlavou-sidliste-296,Z-BOX,Janovice nad Úhlavou,Sídliště,296,,13.21776,49.34309
z-box-kout-na-sumave-kout-na-sumave-121,Z-BOX,Kout na Šumavě,Kout na Šumavě,121,,13.00396,49.40122
z-box-susice-volsovska-1183,Z-BOX,Sušice,Volšovská,1183,,13.51184,49.22555
volary-soumarska-2,Z-BOX,Volary,Soumarská,,,13.8872,48.91171
z-box-vimperk-mirova-469,Z-BOX,Vimperk,Mírová,469,,13.77567,49.06089
vimperk-susicka-617,Z-BOX,Vimperk,Sušická,617,,13.77849,49.05857
z-box-vimperk-k-weise-668,Z-BOX,Vimperk,K. Weise,668,,13.78375,49.05545
susice-nadrazni-1375,Z-BOX,Sušice,Nádražní,1375,,13.52449,49.23751
z-box-vimperk-1-maje-200,Z-BOX,Vimperk,1. máje,200,,13.78353,49.05876
z-box-susice-hradecka-1310-tesco,Z-BOX,Sušice,Hrádecká,1310,,13.52214,49.24116
z-box-hradek-u-susice-hradek-u-susice-21,Z-BOX,Hrádek u Sušice,Hrádek u Sušice,21,,13.49963,49.26082
vacov-vlkonice-136-1,Z-BOX,Vacov,Vlkonice,136,,13.72935,49.13611
z-box-horni-plana-namesti-38,Z-BOX,Horní Planá,Náměstí,38,,14.03165,48.76577
klenci-pod-cerchovem-klenci-pod-cerchovem-118,Z-BOX,Klenčí pod Čerchovem,Klenčí pod Čerchovem,118,,12.81539,49.43509
z-box-bezdekov-bezdekov-180,Z-BOX,Bezděkov,Bezděkov,180,,13.22852,49.37989
z-box-cerna-v-posumavi-cerna-v-posumavi-46,Z-BOX,Černá v Pošumaví,Černá v Pošumaví,46,,14.11301,48.73936
z-box-ckyne-ckyne-327-km-prona,Z-BOX,Čkyně,Čkyně,327,,13.84185,49.11919
z-box-klatovy-kal-22-simek-proficentrum,Z-BOX,Klatovy,Kal,22,,13.25082,49.39157
z-box-zichovice-zichovice-190,Z-BOX,Žichovice,Žichovice,190,,13.62079,49.26645
klatovy-ul-5-kvetna-689,Z-BOX,Klatovy,ul. 5. května,689,,13.29707,49.38207
z-box-cestice-u-strakonic-cestice-88,Z-BOX,Čestice u Strakonic,Čestice,88,,13.80453,49.16773
z-box-prachatice-lazenska-230,Z-BOX,Prachatice,Lázeňská,230,,13.99603,49.00867
