;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSC;NAZ_PROVOZOVNY;NAZ_ULICE;CISLO_POP;CISLO_OR;CAST_OBCE;OBEC;OKRES;KONT_TEL;TEL_BANK_PREP;TEL_POJ_PREP;FUNKCE;POSTA_PODLE_PAR.14_ODST.1;POSTA_PODLE_PAR.14_ODST.2;PO_OD1;PO_DO1;PO_OD2;PO_DO2;PO_OD3;PO_DO3;UT_OD1;UT_DO1;UT_OD2;UT_DO2;UT_OD3;UT_DO3;ST_OD1;ST_DO1;ST_OD2;ST_DO2;ST_OD3;ST_DO3;CT_OD1;CT_DO1;CT_OD2;CT_DO2;CT_OD3;CT_DO3;PA_OD1;PA_DO1;PA_OD2;PA_DO2;PA_OD3;PA_DO3;SO_OD1;SO_DO1;SO_OD2;SO_DO2;SO_OD3;SO_DO3;NE_OD1;NE_DO1;NE_OD2;NE_DO2;NE_OD3;NE_DO3;KOD_RUIAN;ZPUSOBOBSL
10000;Praha 10;Èernokostelecká;2020;20;Strašnice;Praha;Hlavní mìsto Praha;954310872;730859653;735729801;Podávací servisní;ANO;ANO;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;12:00;;;;;;;;;;;22623701;pošta má signální zaøízení oznaèené piktogramem k pøivolání obsluhy, umístìné u vchodu pošty
10004;Praha 104;Nákupní;389;3;Štìrboholy;Praha;Hlavní mìsto Praha;954210004;733590542;;Podávací;ANO;ANO;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;18:00;;;;;09:00;18:00;;;;;25671022;pošta má bezbarierovı pøístup
10007;Praha 107;Švehlova;1391;32;Hostivaø;Praha;Hlavní mìsto Praha;954314095;;;Podávací;ANO;NE;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;19:00;;;;;09:00;14:00;;;;;09:00;14:00;;;;;25302892;pošta má bezbarierovı pøístup
10100;Praha 101;Sportovní;846;22;Vršovice;Praha;Hlavní mìsto Praha;954210100;730859654;;Podávací;ANO;NE;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;19:30;;;;;08:00;12:00;;;;;;;;;;;22664611;pošta má signální zaøízení oznaèené piktogramem k pøivolání obsluhy, umístìné u vchodu pošty
10300;Praha 113;K poštì;416;3;Kolovraty;Praha;Hlavní mìsto Praha;954210300;;;Podávací;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22582398;pošta má bezbarierovı pøístup
10400;Praha 114;Nové námìstí;1370;11;Uhøínìves;Praha;Hlavní mìsto Praha;954210400;;;Podávací;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;27222136;pošta má signální zaøízení oznaèené piktogramem k pøivolání obsluhy, umístìné u vchodu pošty
10600;Praha 106;Malinová;1739;1;Zábìhlice;Praha;Hlavní mìsto Praha;954210600;;;Podávací;ANO;NE;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;22678352;pošta má bezbarierovı pøístup
10700;Praha 112;Za pavilónem;666;0;Dubeè;Praha;Hlavní mìsto Praha;954210700;;;Podávací;ANO;ANO;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;10:00;12:00;13:00;18:00;;;08:00;12:00;13:00;16:00;;;08:00;12:00;13:00;16:00;;;;;;;;;;;;;;;28339274;pošta má bezbarierovı pøístup
10900;Praha 111;Veronské nám.;403;0;Horní Mìcholupy;Praha;Hlavní mìsto Praha;954210900;;;Podávací servisní;ANO;ANO;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;19:00;;;;;08:00;12:00;;;;;;;;;;;25380991;pošta má bezbarierovı pøístup
11000;Praha 1;Jindøišská;909;14;Nové Mìsto;Praha;Hlavní mìsto Praha;604221504;730859651;735729802;Podávací servisní;ANO;NE;06:00;22:00;;;;;06:00;22:00;;;;;06:00;22:00;;;;;06:00;22:00;;;;;06:00;22:00;;;;;08:00;18:00;;;;;;;;;;;21707138;pošta má bezbarierovı pøístup
